roadID,XCoord_0,YCoord_0,XCoord_1,YCoord_1
19001,824360,3382156,824433,3382230
19002,824433,3382230,824248,3382379
19003,824248,3382379,824143,3382508
19101,822241,3382149,822420,3382168
19102,822420,3382168,822572,3382234
19103,822572,3382234,822534,3382408
19104,822534,3382408,822359,3382498
19201,819358,3382470,819295,3382259
19202,819295,3382259,819100,3381939
19301,824455,3382666,824143,3382508
19401,818088,3382502,817993,3382355
19402,817993,3382355,818012,3382303
19403,818012,3382303,818071,3382262
19404,818071,3382262,818026,3382172
19501,818295,3382327,818088,3382502
19601,818991,3382550,819358,3382470
19701,819515,3381477,819878,3382615
19801,819878,3382615,820341,3382449
19901,818991,3382550,818519,3382585
19902,818519,3382585,818414,3382592
20001,818295,3382327,818414,3382592
20101,821408,3382685,820928,3382356
20102,820928,3382356,820905,3382288
20201,821498,3382982,821408,3382685
20202,821408,3382685,821304,3382328
20203,821304,3382328,821223,3382188
20301,816264,3382490,815791,3382567
20401,818158,3382648,818088,3382502
20501,818414,3382592,818158,3382648
20601,819358,3382470,819433,3382783
20701,819433,3382783,819878,3382615
20801,818158,3382648,817722,3382759
20901,821658,3382901,821408,3382685
21001,822388,3382596,821658,3382901
21002,821658,3382901,821498,3382982
21101,816997,3382816,817722,3382759
21201,816997,3382816,816877,3382101
21202,816877,3382101,816807,3381915
21301,819154,3382912,818991,3382550
21401,819102,3382942,819154,3382912
21402,819154,3382912,819433,3382783
21501,816499,3382882,816659,3382863
21502,816659,3382863,816997,3382816
21601,824143,3382508,824119,3382557
21602,824119,3382557,824035,3382822
21603,824035,3382822,824049,3383080
21701,815826,3382880,816258,3382878
21702,816258,3382878,816499,3382882
21801,823553,3383104,824049,3383080
21901,824143,3382508,823981,3382467
21902,823981,3382467,823374,3382441
22001,824049,3383080,824091,3383165
22002,824091,3383165,824158,3383185
22101,815330,3382994,815416,3382982
22102,815416,3382982,815826,3382880
22201,815760,3382394,815462,3382588
22202,815462,3382588,815321,3382756
22203,815321,3382756,815330,3382994
22301,815311,3383540,815267,3383425
22302,815267,3383425,815203,3383317
22303,815203,3383317,815172,3383033
22304,815172,3383033,815330,3382994
22401,821498,3382982,821053,3383211
22501,818664,3383182,818554,3382967
22502,818554,3382967,818526,3382807
22503,818526,3382807,818519,3382585
22601,817888,3383590,818407,3383340
22602,818407,3383340,818664,3383182
22603,818664,3383182,819102,3382942
22701,824433,3383354,824263,3383311
22702,824263,3383311,824158,3383185
22801,816499,3382882,816498,3383156
22802,816498,3383156,816497,3383318
22803,816497,3383318,816496,3383515
22901,817042,3383595,817023,3383236
22902,817023,3383236,816997,3382816
23001,821053,3383211,820517,3383334
23002,820517,3383334,820350,3383340
23101,816726,3383504,816792,3383419
23102,816792,3383419,816758,3383259
23103,816758,3383259,816659,3382863
23201,816758,3383259,817023,3383236
23301,819365,3383580,819282,3383386
23302,819282,3383386,819102,3382942
23401,816497,3383318,816027,3383316
23402,816027,3383316,815888,3383371
23501,815905,3383505,815819,3383511
23502,815819,3383511,815486,3383510
23503,815486,3383510,815311,3383540
23601,815416,3382982,815486,3383510
23701,821297,3383572,821516,3383178
23702,821516,3383178,821529,3383095
23703,821529,3383095,821498,3382982
23801,816726,3383504,816496,3383515
23901,821053,3383211,821015,3383578
23902,821015,3383578,821030,3383654
24001,821297,3383572,821030,3383654
24002,821030,3383654,820677,3383772
24101,817722,3382759,817856,3383456
24102,817856,3383456,817888,3383590
24201,817888,3383590,817557,3383609
24202,817557,3383609,817042,3383595
24301,815423,3384274,815674,3384147
24302,815674,3384147,815994,3384101
24303,815994,3384101,816102,3384080
24304,816102,3384080,816256,3383994
24305,816256,3383994,816556,3383779
24306,816556,3383779,816633,3383661
24307,816633,3383661,816748,3383600
24308,816748,3383600,817042,3383595
24401,816726,3383504,816748,3383600
24402,816748,3383600,816814,3383816
24403,816814,3383816,816922,3384080
24501,820350,3383340,820237,3383390
24502,820237,3383390,820019,3383695
24601,820677,3383772,820600,3383565
24602,820600,3383565,820376,3383396
24603,820376,3383396,820350,3383340
24701,818439,3384028,818659,3383872
24702,818659,3383872,818971,3383743
24703,818971,3383743,819365,3383580
